wine_id,type,wine_name,country,region,varietal_name,winery,year,grapes_1_name,grapes_2_name,grapes_3_name
27946372,Red,Paulo Laureano Dolium Reserva ,portugal,Alentejo,Red,Paulo Laureano,2014,Touriga Nacional,Tinta Roriz,Touriga Franca
5624201,Red,Herdade do Rocim Grande Rocim Reserva Tinto ,portugal,Alentejo,Red,Herdade do Rocim,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
2020315,Red,Dona Maria Reserva ,portugal,Alentejo,Red,Dona Maria,2005,Touriga Nacional,Tinta Roriz,Touriga Franca
144779059,Red,Paulo Laureano Bacalhau Escolha Tinto ,portugal,Alentejo,Red,Paulo Laureano,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
13551606,Red,Herdade do Menir Vale de Ancho Reserva ,portugal,Alentejo,Red,Herdade do Menir,2011,Touriga Nacional,Tinta Roriz,Touriga Franca
7989125,Red,Reynolds Wine Growers Julian Reynolds Grande Reserva ,portugal,Alentejo,Red,Reynolds Wine Growers,2012,Touriga Nacional,Tinta Roriz,Touriga Franca
13334712,Red,Casa Agrícola Santana Ramalho (CSR) Avó Sabica ,portugal,Alentejo,Red,Casa Agrícola Santana Ramalho (CSR),2013,Touriga Nacional,Tinta Roriz,Touriga Franca
165678287,Red,Herdade do Sobroso Cellar Selection Tinto ,portugal,Alentejo,Red,Herdade do Sobroso,2020,Touriga Nacional,Tinta Roriz,Touriga Franca
17988962,Red,Herdade do Menir Vale de Ancho Reserva ,portugal,Alentejo,Red,Herdade do Menir,2012,Touriga Nacional,Tinta Roriz,Touriga Franca
150688779,Red,Dona Maria Amantis Reserva Tinto ,portugal,Alentejo,Red,Dona Maria,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
160050775,Red,Herdade do Peso Reserva Alentejo Tinto ,portugal,Alentejo,Red,Herdade do Peso,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
153348268,Red,Joao Portugal Ramos Estremus ,portugal,Alentejo,Red,Joao Portugal Ramos,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
162771035,Red,Quinta do Mouro Touriga Nacional Unoaked ,portugal,Alentejo,Red,Quinta do Mouro,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
18133289,Red,Herdade do Peso Reserva Alentejo Tinto ,portugal,Alentejo,Red,Herdade do Peso,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
65179883,Red,Dona Maria Júlio B. Bastos Alicante Bouschet ,portugal,Alentejo,Red,Dona Maria,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
150604412,Red,Herdade do Freixo Family Collection ,portugal,Redondo,Red,Herdade do Freixo,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
159873706,Red,Ervideira Conde d'Ervideira Reserva Tinto ,portugal,Alentejo,Red,Ervideira,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
14530592,Red,Cartuxa Évora Reserva Tinto ,portugal,Evora,Red,Cartuxa,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
22443528,Red,Marquês de Borba Reserva Tinto ,portugal,Alentejo,Red,Marquês de Borba,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
152074954,Red,Quinta do Zambujeiro Zambujeiro ,portugal,Borba,Red,Quinta do Zambujeiro,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
160695782,Red,Quinta do Paral Reserva Tinto ,portugal,Alentejo,Red,Quinta do Paral,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
3883489,Red,Ervideira Conde d'Ervideira Private Selection Tinto ,portugal,Alentejo,Red,Ervideira,2011,Touriga Nacional,Tinta Roriz,Touriga Franca
169968347,Red,Marel Tonico Tinto ,portugal,Alentejano,Red,Marel,2020,Touriga Nacional,Tinta Roriz,Touriga Franca
101908656,Red,Cartuxa Évora Reserva Tinto ,portugal,Evora,Red,Cartuxa,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
156135924,Red,Cartuxa Évora Colheita Tinto ,portugal,Evora,Red,Cartuxa,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
14301310,Red,Rui Reguinga Terrenus Vinhas Velhas Reserva ,portugal,Portalegre,Red,Rui Reguinga,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
109767700,Red,Monte da Raposinha Athayde Grande Escolha Tinto ,portugal,Alentejo,Red,Monte da Raposinha,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
160174460,Red,Herdade do Rocim Grande Rocim Reserva Tinto ,portugal,Alentejo,Red,Herdade do Rocim,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
169737802,Red,Herdade do Rocim Vinha da Micaela ,portugal,Alentejo,Red,Herdade do Rocim,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
161194769,Red,Howard's Folly Winemaker's Choice ,portugal,Alentejo,Red,Howard's Folly,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
156104377,Red,Cartuxa Scala Coeli Tinto ,portugal,Alentejo,Red,Cartuxa,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
156112403,Red,Tapada do Chaves Reserva Tinto ,portugal,Alentejo,Red,Tapada do Chaves,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
21629134,Red,Tiago Cabaço blog (Black Label) ,portugal,Alentejo,Red,Tiago Cabaço,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
162250431,Red,Herdade do Sobroso Reserva Tinto ,portugal,Alentejo,Red,Herdade do Sobroso,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
156237791,Red,Ervideira Conde d'Ervideira Reserva Tinto ,portugal,Alentejo,Red,Ervideira,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
157408218,Red,Herdade de Coelheiros Coelheiros Vinha do Taco ,portugal,Alentejo,Red,Herdade de Coelheiros,2010,Touriga Nacional,Tinta Roriz,Touriga Franca
141771899,Red,Mouchão Alentejo Dom Rafael Tinto ,portugal,Alentejo,Red,Mouchão,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
153041381,Red,Herdade do Rocim Grande Rocim Reserva Tinto ,portugal,Alentejo,Red,Herdade do Rocim,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
150268824,Red,Cartuxa Évora Colheita Tinto ,portugal,Evora,Red,Cartuxa,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
161098216,Red,Herdade do Sobroso Grande Reserva Tinto ,portugal,Alentejo,Red,Herdade do Sobroso,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
14769995,Red,Herdade das Servas Vinhas Velhas Estremoz ,portugal,Alentejo,Red,Herdade das Servas,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
100058286,Red,Dona Maria Júlio Bastos Grande Reserva ,portugal,Alentejo,Red,Dona Maria,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
150777870,Red,Ervideira Conde d'Ervideira Vinho da Água Tinto ,portugal,Alentejo,Red,Ervideira,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
158260516,Red,Quinta do Quetzal Reserva Tinto ,portugal,Alentejo,Red,Quinta do Quetzal,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
162913665,Red,Herdade do Peso Trinca Bolotas Alentejo Tinto ,portugal,Alentejo,Red,Herdade do Peso,2020,Touriga Nacional,Tinta Roriz,Touriga Franca
167633887,Red,Cabeças do Reguengo Respiro Clarete ,portugal,Alentejo,Red,Cabeças do Reguengo,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
163170619,Red,Herdade Papa Leite (HPL) B 62 ,portugal,Alentejo,Red,Herdade Papa Leite (HPL),2017,Touriga Nacional,Tinta Roriz,Touriga Franca
163002586,Red,Herdade Aldeia de Cima Alyantiju Tinto ,portugal,Vidigueira,Red,Herdade Aldeia de Cima,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
1521722,Red,Mouchão Colheitas Antigas ,portugal,Alentejo,Red,Mouchão,2002,Touriga Nacional,Tinta Roriz,Touriga Franca
23000132,Red,Paulo Laureano Selectio Grossa ,portugal,Alentejo,Red,Paulo Laureano,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
171202861,Red,Já Te Disse Alicante Bouschet ,portugal,Alentejo,Red,Já Te Disse,2020,Touriga Nacional,Tinta Roriz,Touriga Franca
14188383,Red,Cartuxa Pêra-Manca Tinto ,portugal,Alentejo,Red,Cartuxa,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
167792869,Red,Esporão Esporão Reserva Tinto ,portugal,Alentejo,Red,Esporão,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
165824463,Red,Fitapreta Vinhas Velhas Moreto Chão dos Eremitas ,portugal,Alentejo,Red,Fitapreta,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
160734930,Red,Herdade de Coelheiros Coelheiros Red ,portugal,Alentejo,Red,Herdade de Coelheiros,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
161499335,Red,Fitapreta A Touriga Vai Nua (Unoaked) ,portugal,Alentejo,Red,Fitapreta,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
156863757,Red,Herdade do Rocim Crónica # 328 José Ribeiro Vieira ,portugal,Alentejo,Red,Herdade do Rocim,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
155529179,Red,Herdade do Sobroso Arché ,portugal,Alentejo,Red,Herdade do Sobroso,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
100057835,Red,Dona Maria Júlio Bastos Grande Reserva ,portugal,Alentejo,Red,Dona Maria,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
27599744,Red,Quinta da Terrugem Tinto ,portugal,Alentejo,Red,Quinta da Terrugem,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
