wine_id,type,wine_name,country,region,varietal_name,winery,year,grapes_1_name,grapes_2_name,grapes_3_name,tokenized
27946372,red,paulo laureano dolium reserva ,portugal,alentejo,red,paulo laureano,2014,touriga nacional,tinta roriz,touriga franca,"['paulo', 'laureano', 'dolium', 'reserva']"
5624201,red,herdade do rocim grande rocim reserva tinto ,portugal,alentejo,red,herdade do rocim,2013,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'rocim', 'grande', 'rocim', 'reserva', 'tinto']"
2020315,red,dona maria reserva ,portugal,alentejo,red,dona maria,2005,touriga nacional,tinta roriz,touriga franca,"['dona', 'maria', 'reserva']"
144779059,red,paulo laureano bacalhau escolha tinto ,portugal,alentejo,red,paulo laureano,2016,touriga nacional,tinta roriz,touriga franca,"['paulo', 'laureano', 'bacalhau', 'escolha', 'tinto']"
13551606,red,herdade do menir vale de ancho reserva ,portugal,alentejo,red,herdade do menir,2011,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'menir', 'vale', 'de', 'ancho', 'reserva']"
7989125,red,reynolds wine growers julian reynolds grande reserva ,portugal,alentejo,red,reynolds wine growers,2012,touriga nacional,tinta roriz,touriga franca,"['reynolds', 'wine', 'growers', 'julian', 'reynolds', 'grande', 'reserva']"
13334712,red,casa agrícola santana ramalho (csr) avó sabica ,portugal,alentejo,red,casa agrícola santana ramalho (csr),2013,touriga nacional,tinta roriz,touriga franca,"['casa', 'agrícola', 'santana', 'ramalho', '(', 'csr', ')', 'avó', 'sabica']"
165678287,red,herdade do sobroso cellar selection tinto ,portugal,alentejo,red,herdade do sobroso,2020,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'sobroso', 'cellar', 'selection', 'tinto']"
17988962,red,herdade do menir vale de ancho reserva ,portugal,alentejo,red,herdade do menir,2012,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'menir', 'vale', 'de', 'ancho', 'reserva']"
150688779,red,dona maria amantis reserva tinto ,portugal,alentejo,red,dona maria,2017,touriga nacional,tinta roriz,touriga franca,"['dona', 'maria', 'amantis', 'reserva', 'tinto']"
160050775,red,herdade do peso reserva alentejo tinto ,portugal,alentejo,red,herdade do peso,2018,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'peso', 'reserva', 'alentejo', 'tinto']"
153348268,red,joao portugal ramos estremus ,portugal,alentejo,red,joao portugal ramos,2017,touriga nacional,tinta roriz,touriga franca,"['joao', 'portugal', 'ramos', 'estremus']"
162771035,red,quinta do mouro touriga nacional unoaked ,portugal,alentejo,red,quinta do mouro,2017,touriga nacional,tinta roriz,touriga franca,"['quinta', 'do', 'mouro', 'touriga', 'nacional', 'unoaked']"
18133289,red,herdade do peso reserva alentejo tinto ,portugal,alentejo,red,herdade do peso,2015,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'peso', 'reserva', 'alentejo', 'tinto']"
65179883,red,dona maria júlio b. bastos alicante bouschet ,portugal,alentejo,red,dona maria,2015,touriga nacional,tinta roriz,touriga franca,"['dona', 'maria', 'júlio', 'b.', 'bastos', 'alicante', 'bouschet']"
